Model,accuracy,f1_macro,precision_macro,recall_macro
RandomForest,0.8113695090439277,0.6932565742082982,0.7392624288592343,0.6711803573071324
LightGBM,0.8656330749354005,0.7353840342662433,0.7477823665477723,0.7335253824590362
ExtraTree,0.8191214470284238,0.7118899051503869,0.7204029418173669,0.7229208382975493
KernelSVM,0.8630490956072352,0.7467254428155136,0.7789865880788712,0.7304339524488627
KNN,0.5335917312661499,0.4636507674579558,0.7991659146212314,0.40481849463457076
LinearSVM,0.8940568475452196,0.7705296639486093,0.7707121284917007,0.7774856646694923
MultiNB,0.8914728682170543,0.7732968698175371,0.7689543978451804,0.7819331392904793
Logistic,0.8746770025839793,0.7455448759864715,0.7687916574734226,0.7404634724568473
Ensemble,0.8863049095607235,0.756420240955447,0.77835021321638,0.7512704763160103
